hskLevel,hanzi,pinyin,definition
4,普遍,pǔ biàn,universal
4,其次,qí cì,next
4,其中,qí zhōng,among
4,起飞,qǐ fēi,to take off (in an airplane)
4,起来,qi lai,(after a verb
4,气候,qì hòu,climate
4,千万,qiān wàn,ten million
4,签证,qiān zhèng,visa
4,墙,qiáng,wall
4,敲,qiāo,to hit
4,桥,qiáo,bridge
4,巧克力,qiǎo kè lì,chocolate (loanword)
4,亲戚,qīn qi,a relative (i.e. family relation)
4,轻,qīng,light
4,轻松,qīng sōng,gentle
4,情况,qíng kuàng,circumstances
4,请假,qǐng jià,to request leave of absence
4,请客,qǐng kè,to give a dinner party
4,穷,qióng,exhausted
4,区别,qū bié,difference
4,取,qǔ,to take
4,全部,quán bù,whole
4,缺点,quē diǎn,weak point
4,缺少,quē shǎo,lack
4,却,què,but
4,确实,què shí,indeed
4,群,qún,group
4,然而,rán ér,however
4,热闹,rè nao,bustling with noise and excitement
4,人民币,rén mín bì,Renminbi (RMB)
4,任何,rèn hé,any
4,任务,rèn wu,mission
4,扔,rēng,to throw
4,仍然,réng rán,still
4,日记,rì jì,diary
4,入口,rù kǒu,entrance
4,软,ruǎn,soft
4,散步,sàn bù,to take a walk
4,森林,sēn lín,forest
4,沙发,shā fā,sofa
4,商量,shāng liang,to consult
4,伤心,shāng xīn,to grieve
4,稍微,shāo wēi,a little bit
4,社会,shè huì,society
4,深,shēn,close
4,申请,shēn qǐng,to apply for sth
4,甚至,shèn zhì,even
4,生活,shēng huó,life
4,生命,shēng mìng,life
4,省,shěng,to save
4,剩,shèng,to remain
4,失败,shī bài,to be defeated
4,失望,shī wàng,disappointed
4,师傅,shī fu,master
4,湿润,shī rùn,moist
4,狮子,shī zi,lion
4,十分,shí fēn,to divide into ten equal parts
4,实际,shí jì,actual
4,实在,shí zài,really
4,食品,shí pǐn,foodstuff
4,使用,shǐ yòng,to use
4,试,shì,to test
4,市场,shì chǎng,marketplace
4,世纪,shì jì,century
4,适合,shì hé,to fit
4,适应,shì yìng,to adapt
4,收,shōu,to receive
4,收入,shōu rù,to take in
4,收拾,shōu shi,to put in order
4,首都,shǒu dū,capital (city)
4,首先,shǒu xiān,first (of all)
4,受不了,shòu bù liǎo,unbearable
4,受到,shòu dào,to receive
4,售货员,shòu huò yuán,salesperson
4,输,shū,to lose
4,熟悉,shú xī,to be familiar with
4,数量,shù liàng,amount
4,数字,shù zì,numeral
4,帅,shuài,handsome
4,顺便,shùn biàn,conveniently
4,顺利,shùn lì,smoothly
4,顺序,shùn xù,sequence
4,说明,shuō míng,to explain
4,硕士,shuò shì,master's degree
4,死,sǐ,to die
4,速度,sù dù,speed
4,塑料袋,sù liào dài,plastic bag
4,酸,suān,sour
4,算,suàn,to regard as
4,随便,suí biàn,as one wishes
4,随着,suí zhe,along with
4,孙子,sūn zi,grandson
4,所有,suǒ yǒu,all
4,抬,tái,to lift
4,台,tái,typhoon
4,态度,tài du,manner
4,谈,tán,to speak
4,弹,tán,to pluck (a string)
4,汤,tāng,soup
4,躺,tǎng,to recline
4,趟,tàng,classifier for times
4,讨论,tǎo lùn,to discuss
4,讨厌,tǎo yàn,to dislike
4,特点,tè diǎn,characteristic (feature)
4,提供,tí gōng,to offer
4,提前,tí qián,to shift to an earlier date
4,提醒,tí xǐng,to remind
4,填空,tián kòng,to fill a job vacancy
4,条件,tiáo jiàn,condition
4,停止,tíng zhǐ,to stop
4,挺,tǐng,to stick out
4,通过,tōng guò,by means of
4,通知,tōng zhī,to notify
4,同情,tóng qíng,to sympathize with
4,推,tuī,to push
4,推迟,tuī chí,to postpone
4,脱,tuō,to shed
4,袜子,wà zi,socks
4,完全,wán quán,complete
4,往,wǎng,to go (in a direction)
4,往往,wǎng wǎng,often
4,网球,wǎng qiú,tennis
4,网站,wǎng zhàn,website
4,危险,wēi xiǎn,danger
4,味道,wèi dao,flavor
4,温度,wēn dù,temperature
4,文章,wén zhāng,article
4,握手,wò shǒu,to shake hands
4,污染,wū rǎn,pollution
4,无,wú,-less
4,无聊,wú liáo,bored
4,无论,wú lùn,no matter what or how
4,误会,wù huì,to misunderstand
4,西红柿,xī hóng shì,tomato
4,吸引,xī yǐn,to attract (interest
4,洗衣机,xǐ yī jī,washer
4,咸,xián,salted
4,现代,xiàn dài,modern times
4,羡慕,xiàn mù,to envy
4,限制,xiàn zhì,to restrict
4,香,xiāng,fragrant
4,相反,xiāng fǎn,opposite
4,详细,xiáng xì,detailed
4,响,xiǎng,echo
4,消息,xiāo xi,news
4,小说,xiǎo shuō,novel
4,笑话,xiào huà,joke
4,效果,xiào guǒ,result
4,心情,xīn qíng,mood
4,辛苦,xīn kǔ,hard
4,信任,xìn rèn,to trust
4,信心,xìn xīn,confidence
4,信用卡,xìn yòng kǎ,credit card
4,兴奋,xīng fèn,excited
4,行,xíng,to walk
4,醒,xǐng,to wake up
4,性别,xìng bié,gender
4,性格,xìng gé,nature
4,幸福,xìng fú,happiness
4,修,xiū,to decorate
4,许多,xǔ duō,many
4,血,xuè,blood
4,压力,yā lì,pressure
4,牙膏,yá gāo,toothpaste
4,亚洲,Yà zhōu,Asia
4,呀,ya,(particle equivalent to 啊 after a vowel
4,盐,yán,salt
4,严格,yán gé,strict
4,严重,yán zhòng,grave
4,研究生,yán jiū shēng,graduate student
4,演出,yǎn chū,to act (in a play)
4,演员,yǎn yuán,actor or actress
4,阳光,yáng guāng,sunshine
4,养成,yǎng chéng,to cultivate
4,样子,yàng zi,appearance
4,邀请,yāo qǐng,to invite
4,钥匙,yào shi,key
4,也许,yě xǔ,perhaps
4,页,yè,page
4,叶子,yè zi,foliage
4,一切,yī qiè,everything
4,以,yǐ,to use
4,亿,yì,100 million
4,意见,yì jiàn,idea
4,艺术,yì shù,art
4,因此,yīn cǐ,thus
4,引起,yǐn qǐ,to give rise to
4,饮料,yǐn liào,drink
4,印象,yìn xiàng,impression
4,赢,yíng,to beat
4,硬,yìng,hard
4,勇敢,yǒng gǎn,brave
4,永远,yǒng yuǎn,forever
4,优点,yōu diǎn,merit
4,优秀,yōu xiù,outstanding
4,幽默,yōu mò,(loanword) humor
4,由,yóu,to follow
4,由于,yóu yú,due to
4,尤其,yóu qí,especially
4,有趣,yǒu qù,interesting
4,友好,yǒu hǎo,friendly
4,友谊,yǒu yì,companionship
4,愉快,yú kuài,cheerful
4,于是,yú shì,thereupon
4,与,yǔ,and
4,语法,yǔ fǎ,grammar
4,语言,yǔ yán,language
4,羽毛球,yǔ máo qiú,shuttlecock
4,预习,yù xí,to prepare a lesson
4,圆,yuán,circle
4,原来,yuán lái,original
4,原谅,yuán liàng,to excuse
4,原因,yuán yīn,cause
4,约会,yuē huì,appointment
4,阅读,yuè dú,to read
4,允许,yǔn xǔ,to permit
4,杂志,zá zhì,magazine
4,咱们,zán men,we or us (including both the speaker and the person(s) spoken to)
4,暂时,zàn shí,temporary
4,脏,zāng,dirty
4,责任,zé rèn,responsibility
4,增加,zēng jiā,to raise
4,增长,zēng zhǎng,to grow
4,窄,zhǎi,narrow
4,招聘,zhāo pìn,recruitment
4,真正,zhēn zhèng,genuine
4,整理,zhěng lǐ,to arrange
4,整齐,zhěng qí,orderly
4,正常,zhèng cháng,regular
4,正好,zhèng hǎo,just (in time)
4,正确,zhèng què,correct
4,正式,zhèng shì,formal
4,证明,zhèng míng,proof
4,之,zhī,(possessive particle
4,支持,zhī chí,to be in favor of
4,知识,zhī shi,intellectual
4,直接,zhí jiē,direct
4,值得,zhí de,to be worth
4,职业,zhí yè,occupation
4,植物,zhí wù,botanical
4,指,zhǐ,finger
4,只好,zhǐ hǎo,without any better option
4,只要,zhǐ yào,if only
4,制造,zhì zào,to manufacture
4,至少,zhì shǎo,at least
4,质量,zhì liàng,quality
4,中文,Zhōng wén,Chinese
4,重点,zhòng diǎn,important point
4,重视,zhòng shì,to attach importance to sth
4,周围,zhōu wéi,surroundings
4,猪,zhū,hog
4,逐渐,zhú jiàn,gradually
4,主动,zhǔ dòng,to take the initiative
4,主意,zhǔ yi,plan
4,祝贺,zhù hè,to congratulate
4,著名,zhù míng,famous
4,专门,zhuān mén,specialist
4,专业,zhuān yè,specialty
4,赚,zhuàn,to earn
4,撞,zhuàng,to hit
4,准确,zhǔn què,accurate
4,准时,zhǔn shí,on time
4,仔细,zǐ xì,careful
4,自然,zì rán,nature
4,总结,zǒng jié,to sum up
4,租,zū,to hire
4,组成,zǔ chéng,to form
4,组织,zǔ zhī,to organize
4,嘴,zuǐ,mouth
4,最好,zuì hǎo,best
4,最后,zuì hòu,final
4,尊重,zūn zhòng,to esteem
4,做生意,zuò shēng yì,to do business
4,座,zuò,seat
4,座位,zuò wèi,seat
4,作者,zuò zhě,author
5,唉,āi,interjection or grunt of agreement
5,爱护,ài hù,to cherish
5,爱惜,ài xī,to cherish
5,爱心,ài xīn,compassion
5,安慰,ān wèi,to comfort
5,安装,ān zhuāng,to install
5,岸,àn,bank
5,把握,bǎ wò,to grasp (also fig.)
5,摆,bǎi,to arrange
5,班主任,bān zhǔ rèn,teacher in charge of a class
5,办理,bàn lǐ,to handle
5,棒,bàng,a stick
5,傍晚,bàng wǎn,in the evening
5,包裹,bāo guǒ,wrap up
5,包含,bāo hán,to contain
5,包子,bāo zi,steamed stuffed bun
5,薄,báo,thin
5,宝贝,bǎo bèi,treasured object
5,宝贵,bǎo guì,valuable
5,保持,bǎo chí,to keep
5,保存,bǎo cún,to conserve
5,保留,bǎo liú,to retain
5,保险,bǎo xiǎn,insurance
5,报告,bào gào,to inform
5,悲观,bēi guān,pessimistic
5,被子,bèi zi,quilt
5,背,bèi,the back of a body or object
5,背景,bèi jǐng,background
5,本科,běn kē,undergraduate course
5,本领,běn lǐng,skill
5,本质,běn zhì,essence
5,比例,bǐ lì,proportion
5,比如,bǐ rú,for example
5,彼此,bǐ cǐ,each other
5,必然,bì rán,inevitable
5,必需,bì xū,to need
5,必要,bì yào,necessary
5,毕竟,bì jìng,after all
5,避免,bì miǎn,to avert
5,鞭炮,biān pào,firecrackers
5,编辑,biān jí,to edit
5,便,biàn,ordinary
5,辩论,biàn lùn,debate
5,标点,biāo diǎn,punctuation
5,标志,biāo zhì,sign
5,表面,biǎo miàn,surface
5,表明,biǎo míng,to make clear
5,表情,biǎo qíng,(facial) expression
5,表现,biǎo xiàn,to show
5,丙,bǐng,third of 10 heavenly stems 十天干
5,病毒,bìng dú,virus
5,玻璃,bō li,glass
5,博物馆,bó wù guǎn,museum
5,脖子,bó zi,neck
5,不必,bù bì,need not
5,不断,bù duàn,unceasing
5,不见得,bù jiàn de,not necessarily
5,不耐烦,bù nài fán,impatience
5,不要紧,bù yào jǐn,unimportant
5,补充,bǔ chōng,to replenish
5,不安,bù ān,unpeaceful
5,不得了,bù dé liǎo,desperately serious
5,不好意思,bù hǎo yì si,to feel embarrassed
5,不免,bù miǎn,inevitably
5,不然,bù rán,not so
5,不如,bù rú,not equal to
5,不足,bù zú,insufficient
5,布,bù,cloth
5,步骤,bù zhòu,procedure
5,部门,bù mén,department
5,财产,cái chǎn,property
5,踩,cǎi,to step on
5,采访,cǎi fǎng,to interview
5,采取,cǎi qǔ,to adopt or carry out (measures
5,彩虹,cǎi hóng,rainbow
5,参考,cān kǎo,consultation
5,参与,cān yù,to participate (in sth)
5,餐厅,cān tīng,dining hall
5,残疾,cán jí,disabled
5,惭愧,cán kuì,ashamed
5,操场,cāo chǎng,playground
5,操心,cāo xīn,to worry about
5,册,cè,book
5,测验,cè yàn,test
5,厕所,cè suǒ,toilet
5,曾经,céng jīng,once
5,插,chā,to insert
5,差别,chā bié,difference
5,叉子,chā zi,fork
5,拆,chāi,to tear open
5,产品,chǎn pǐn,goods
5,产生,chǎn shēng,to arise
5,长途,cháng tú,long distance
5,常识,cháng shí,common sense
5,抄,chāo,to make a copy
5,朝,cháo,imperial or royal court
5,朝代,cháo dài,dynasty
5,炒,chǎo,to sauté
5,吵架,chǎo jià,to quarrel
5,车库,chē kù,garage
5,车厢,chē xiāng,carriage
5,彻底,chè dǐ,thorough
5,沉默,chén mò,taciturn
5,趁,chèn,to avail oneself of
5,称,chēng,to weigh
5,称呼,chēng hu,to call
5,称赞,chēng zàn,to praise
5,乘,chéng,to ride
5,承担,chéng dān,to undertake
5,承认,chéng rèn,to admit
5,承受,chéng shòu,to bear
5,成分,chéng fèn,composition
5,成果,chéng guǒ,result
5,成就,chéng jiù,accomplishment
5,成立,chéng lì,to establish
5,成语,chéng yǔ,Chinese set expression
5,成长,chéng zhǎng,to mature
5,程度,chéng dù,degree (level or extent)
5,程序,chéng xù,procedures
5,诚恳,chéng kěn,sincere
5,吃亏,chī kuī,to suffer losses
5,持续,chí xù,to continue
5,池子,chí zi,pond
5,尺子,chǐ zi,rule
5,翅膀,chì bǎng,wing
5,冲,chōng,thoroughfare
5,充电器,chōng diàn qì,battery charger
5,充分,chōng fèn,ample
5,充满,chōng mǎn,full of
5,重复,chóng fù,to repeat
5,宠物,chǒng wù,house pet
5,抽屉,chōu ti,drawer
5,抽象,chōu xiàng,abstract
5,丑,chǒu,shameful
5,臭,chòu,stench
5,出版,chū bǎn,to publish
5,出口,chū kǒu,an exit
5,出色,chū sè,remarkable
5,出席,chū xí,to attend
5,初级,chū jí,junior
5,除,chú,to get rid of
5,除非,chú fēi,only if (...
5,除夕,chú xī,(New Year's) Eve
5,处理,chǔ lǐ,to handle
5,传播,chuán bō,to disseminate
5,传递,chuán dì,to transmit
5,传染,chuán rǎn,to infect
5,传说,chuán shuō,legend
5,传统,chuán tǒng,tradition
5,窗帘,chuāng lián,window curtains
5,闯,chuǎng,to rush
5,创造,chuàng zào,to create
5,吹,chuī,to blow
5,磁带,cí dài,magnetic tape
5,辞职,cí zhí,to resign
5,此外,cǐ wài,besides
5,刺激,cì jī,to provoke
5,次要,cì yào,secondary
5,匆忙,cōng máng,hasty
5,从此,cóng cǐ,from now on
5,从而,cóng ér,thus
5,从前,cóng qián,previously
5,从事,cóng shì,to go for
5,醋,cù,vinegar
5,促进,cù jìn,to promote (an idea or cause)
5,促使,cù shǐ,to induce
5,催,cuī,to urge
5,存,cún,to exist
5,存在,cún zài,to exist
5,错误,cuò wù,error
5,措施,cuò shī,measure
5,答应,dā ying,to promise
5,达到,dá dào,to reach
5,打工,dǎ gōng,to work a temporary or casual job
5,打交道,dǎ jiāo dào,to come into contact with
5,打喷嚏,dǎ pēn tì,to sneeze
5,打听,dǎ ting,to ask about
5,打招呼,dǎ zhāo hu,to greet sb by word or action
5,大方,dà fang,generous
5,大象,dà xiàng,elephant
5,大型,dà xíng,large
5,呆,dāi,foolish
5,贷款,dài kuǎn,a loan
5,待遇,dài yù,treatment
5,担任,dān rèn,to hold a governmental office or post
5,单纯,dān chún,simple
5,单调,dān diào,monotonous
5,单独,dān dú,alone
5,单位,dān wèi,a unit
5,单元,dān yuán,unit
5,耽误,dān wu,to delay
5,胆小鬼,dǎn xiǎo guǐ,coward
5,淡,dàn,insipid
5,当代,dāng dài,the present age
5,挡,dǎng,to resist
5,岛,dǎo,island
5,倒霉,dǎo méi,to have bad luck
5,导演,dǎo yǎn,to direct
5,导致,dǎo zhì,to lead to
5,倒,dào,to place upside down
5,到达,dào dá,to reach
5,道德,dào dé,virtue
5,道理,dào li,reason
5,登机牌,dēng jī pái,boarding pass
5,登记,dēng jì,to register (one's name)
5,等待,děng dài,to wait
5,等候,děng hòu,to wait
5,等于,děng yú,to equal
5,滴,dī,a drop
5,的确,dí què,really
5,敌人,dí rén,enemy
5,递,dì,to hand over
5,地道,dì dao,authentic
5,地理,dì lǐ,geography
5,地区,dì qū,local
5,地毯,dì tǎn,carpet
5,地位,dì wèi,position
5,地震,dì zhèn,earthquake
5,点头,diǎn tóu,to nod
5,点心,diǎn xin,light refreshments
5,电池,diàn chí,battery
5,电台,diàn tái,transmitter-receiver
5,钓,diào,to fish with a hook and bait
5,丁,dīng,fourth of 10 heavenly stems 十天干
5,顶,dǐng,apex
5,冻,dòng,to freeze
5,洞,dòng,cave
5,动画片,dòng huà piàn,animated film
5,逗,dòu,to stay
5,豆腐,dòu fu,tofu
5,独立,dú lì,independent
5,独特,dú tè,unique
5,度过,dù guò,to pass
5,短信,duǎn xìn,text message
5,堆,duī,to pile up
5,对比,duì bǐ,to contrast
5,对待,duì dài,to treat
5,对方,duì fāng,counterpart
5,对手,duì shǒu,opponent
5,对象,duì xiàng,target
5,对于,duì yú,regarding
5,吨,dūn,ton
5,蹲,dūn,to crouch
5,多亏,duō kuī,thanks to
5,多余,duō yú,superfluous
5,躲藏,duǒ cáng,to hide oneself
5,恶劣,è liè,vile
5,发表,fā biǎo,to issue
5,发愁,fā chóu,to worry
5,发达,fā dá,developed (country etc)
5,发抖,fā dǒu,to tremble
5,发挥,fā huī,to display
5,发明,fā míng,to invent
5,发票,fā piào,invoice
5,发言,fā yán,to make a speech
5,罚款,fá kuǎn,(impose a) fine
5,法院,fǎ yuàn,court of law
5,翻,fān,to turn over
5,繁荣,fán róng,prosperous
5,凡是,fán shì,each and every
5,反而,fǎn ér,instead
5,反复,fǎn fù,repeatedly
5,反应,fǎn yìng,to react
5,反正,fǎn zhèng,anyway
5,方,fāng,square
5,方案,fāng àn,plan
5,方式,fāng shì,way (of life)
5,妨碍,fáng ài,to hinder
5,房东,fáng dōng,landlord
5,仿佛,fǎng fú,to seem
5,放松,fàng sōng,to loosen
5,非,fēi,to not be
5,肥皂,féi zào,soap
5,肺,fèi,lung
5,废话,fèi huà,nonsense
5,费用,fèi yòng,cost
5,分别,fēn bié,to part or leave each other
5,分布,fēn bù,distributed
5,分配,fēn pèi,to distribute
5,分析,fēn xī,to analyze
5,纷纷,fēn fēn,one after another
5,奋斗,fèn dòu,to strive
5,愤怒,fèn nù,angry
5,风格,fēng gé,style
5,风俗,fēng sú,social custom
5,风险,fēng xiǎn,risk
5,疯狂,fēng kuáng,madness
5,讽刺,fěng cì,to satirize
5,否定,fǒu dìng,to negate
5,否认,fǒu rèn,to declare to be untrue
5,扶,fú,to support with the hand
5,幅,fú,width
5,服从,fú cóng,to obey (an order)
5,服装,fú zhuāng,dress
5,辅导,fǔ dǎo,to coach
5,复制,fù zhì,to duplicate
5,付款,fù kuǎn,to pay a sum of money
5,妇女,fù nǚ,woman
5,改革,gǎi gé,reform
5,改进,gǎi jìn,to improve
5,改善,gǎi shàn,to make better
5,改正,gǎi zhèng,to correct
5,盖,gài,lid
5,概括,gài kuò,to summarize
5,概念,gài niàn,concept
5,干脆,gān cuì,straightforward
5,感激,gǎn jī,to be grateful
5,感受,gǎn shòu,to sense
5,感想,gǎn xiǎng,impressions
5,赶紧,gǎn jǐn,hurriedly
5,赶快,gǎn kuài,at once
5,干活儿,gàn huó r,to work
5,钢铁,gāng tiě,steel
5,高档,gāo dàng,superior quality
5,高速,gāo sù,high speed
5,搞,gǎo,to do
5,告别,gào bié,to leave
5,胳膊,gē bo,arm
5,鸽子,gē zi,pigeon
5,隔壁,gé bì,next door
5,格外,gé wài,especially
5,革命,gé mìng,revolution
5,个别,gè bié,individual
5,个人,gè rén,individual
5,个性,gè xìng,individuality
5,各自,gè zì,each
5,根,gēn,root
5,根本,gēn běn,fundamental
5,更加,gèng jiā,more (than sth else)
5,公布,gōng bù,to announce
5,公开,gōng kāi,public
5,公平,gōng píng,fair
5,公寓,gōng yù,apartment building
5,公元,gōng yuán,CE (Common Era)
5,公主,gōng zhǔ,princess
5,工厂,gōng chǎng,factory
5,工程师,gōng chéng shī,engineer
5,工人,gōng rén,worker
5,工业,gōng yè,industry
5,功夫,gōng fu,skill
5,功能,gōng néng,function
5,贡献,gòng xiàn,to contribute
5,沟通,gōu tōng,to join
5,构成,gòu chéng,to constitute
5,姑姑,gū gu,paternal aunt
5,姑娘,gū niang,girl
5,古代,gǔ dài,ancient times
5,古典,gǔ diǎn,classical
5,古老,gǔ lǎo,ancient
5,股票,gǔ piào,share
5,鼓舞,gǔ wǔ,heartening (news)
5,骨头,gǔ tou,bone
5,固定,gù dìng,fixed
5,固体,gù tǐ,solid
5,雇佣,gù yōng,to employ
5,挂号,guà hào,to register (a letter etc)
5,乖,guāi,(of a child) obedient
5,拐弯,guǎi wān,to go round a curve
5,怪不得,guài bu de,no wonder!
5,关闭,guān bì,to close
5,关怀,guān huái,care
5,官,guān,official
5,观察,guān chá,to observe
5,观点,guān diǎn,point of view
5,观念,guān niàn,notion
5,管子,guǎn zi,tube
5,罐头,guàn tou,tin
5,冠军,guàn jūn,champion
5,光滑,guāng hua,glossy
5,光临,guāng lín,(honorific) Welcome!
5,光明,guāng míng,light
5,光盘,guāng pán,compact disc
5,光荣,guāng róng,honor and glory
5,广场,guǎng chǎng,public square
5,广大,guǎng dà,(of an area) vast or extensive
5,广泛,guǎng fàn,extensive
5,规矩,guī ju,lit. compass and set square
5,规律,guī lǜ,rule (e.g. of science)
5,规模,guī mó,scale
5,规则,guī zé,rule
5,柜台,guì tái,sales counter
5,滚,gǔn,to boil
5,锅,guō,pot
5,国籍,guó jí,nationality
5,国庆节,Guó qìng jié,PRC National Day (October 1st)
5,果实,guǒ shí,fruit
5,过分,guò fèn,excessive
5,过敏,guò mǐn,to be allergic
5,过期,guò qī,to be overdue
5,哈,hā,laughter
5,海关,hǎi guān,customs (i.e. border crossing inspection)
5,海鲜,hǎi xiān,seafood
5,喊,hǎn,to yell
5,行业,háng yè,industry
5,豪华,háo huá,luxurious
5,好奇,hào qí,inquisitive
5,和平,hé píng,peace
5,何必,hé bì,there is no need
5,何况,hé kuàng,let alone
5,合法,hé fǎ,lawful
5,合理,hé lǐ,rational
5,合同,hé tong,(business) contract
5,合影,hé yǐng,joint photo
5,合作,hé zuò,to cooperate
5,核心,hé xīn,core
5,恨,hèn,to hate
5,横,héng,horizontal
5,后果,hòu guǒ,consequences
5,忽视,hū shì,to neglect
5,呼吸,hū xī,to breathe
5,壶,hú,pot
5,蝴蝶,hú dié,butterfly
5,胡说,hú shuō,to talk nonsense
5,胡同,hú tòng,variant of 胡同[hú tòng]
5,胡须,hú xū,beard
5,糊涂,hú tu,muddled
5,花生,huā shēng,peanut
5,滑冰,huá bīng,to skate
5,划船,huá chuán,to row a boat
5,华裔,Huá yì,ethnic Chinese
5,化学,huà xué,chemistry
5,话题,huà tí,subject (of a talk or conversation)
5,怀念,huái niàn,to cherish the memory of
5,缓解,huǎn jiě,to blunt
5,幻想,huàn xiǎng,delusion
5,慌张,huāng zhāng,confused
5,黄瓜,huáng guā,cucumber
5,黄金,huáng jīn,gold
5,皇帝,huáng dì,emperor
5,皇后,huáng hòu,empress
5,灰,huī,ash
5,灰尘,huī chén,dust
5,灰心,huī xīn,to lose heart
5,挥,huī,to wave
5,恢复,huī fù,to reinstate
5,汇率,huì lǜ,exchange rate
5,婚礼,hūn lǐ,wedding ceremony
5,婚姻,hūn yīn,matrimony
5,活跃,huó yuè,active
5,火柴,huǒ chái,match (for lighting fire)
5,伙伴,huǒ bàn,partner
5,基本,jī běn,basic
5,机器,jī qì,machine
5,激烈,jī liè,intense
5,肌肉,jī ròu,muscle
5,及格,jí gé,to pass a test
5,急忙,jí máng,hastily
5,集体,jí tǐ,collective
5,集中,jí zhōng,to concentrate
5,记录,jì lù,to record
5,记忆,jì yì,to remember
5,计算,jì suàn,to count
5,寂寞,jì mò,lonely
5,系领带,jì lǐng dài,to tie one's necktie
5,纪录,jì lù,record
5,纪律,jì lǜ,discipline
5,纪念,jì niàn,to commemorate
5,家庭,jiā tíng,family
5,家务,jiā wù,household duties
5,家乡,jiā xiāng,hometown
5,嘉宾,jiā bīn,esteemed guest
5,夹子,jiā zi,clip
5,甲,jiǎ,first of the ten heavenly stems 十天干[shí tiān gān]
5,假如,jiǎ rú,if
5,假装,jiǎ zhuāng,to feign
5,嫁,jià,(of a woman) to marry
5,价值,jià zhí,value
5,驾驶,jià shǐ,to pilot (ship
5,煎,jiān,to pan fry
5,肩膀,jiān bǎng,shoulder
5,坚决,jiān jué,firm
5,坚强,jiān qiáng,staunch
5,尖锐,jiān ruì,sharp
5,艰巨,jiān jù,arduous
5,艰苦,jiān kǔ,difficult
5,捡,jiǎn,to pick up
5,剪刀,jiǎn dāo,scissors
5,简历,jiǎn lì,Curriculum Vitae (CV)
5,简直,jiǎn zhí,simply
5,健身房,jiàn shēn fáng,gym
5,建立,jiàn lì,to establish
5,建设,jiàn shè,to build
5,建议,jiàn yì,to propose
5,建筑,jiàn zhù,to construct
5,键盘,jiàn pán,keyboard
5,讲究,jiǎng jiu,to pay particular attention to
5,讲座,jiǎng zuò,a course of lectures
5,降落,jiàng luò,to descend
5,酱油,jiàng yóu,soy sauce
5,浇,jiāo,to pour liquid
5,交换,jiāo huàn,to exchange
5,交际,jiāo jì,communication
5,郊区,jiāo qū,suburban district
5,胶水,jiāo shuǐ,glue
5,角度,jiǎo dù,angle
5,狡猾,jiǎo huá,crafty
5,教材,jiào cái,teaching material
5,教练,jiào liàn,instructor
5,教训,jiào xun,lesson
5,接触,jiē chù,to touch
5,接待,jiē dài,to receive (a visitor)
5,接近,jiē jìn,to approach
5,接着,jiē zhe,to catch and hold on
5,阶段,jiē duàn,stage
5,结实,jiē shi,rugged
5,节,jié,festival
5,节省,jié shěng,saving
5,结构,jié gòu,structure
5,结合,jié hé,to combine
5,结论,jié lùn,conclusion
5,结账,jié zhàng,to pay the bill
5,解放,jiě fàng,to liberate
5,解说员,jiě shuō yuán,commentator
5,届,jiè,to arrive at (place or time)
5,借口,jiè kǒu,to use as an excuse
5,戒烟,jiè yān,to give up smoking
5,戒指,jiè zhi,(finger) ring
5,金属,jīn shǔ,metal
5,紧,jǐn,tight
5,紧急,jǐn jí,urgent
5,尽量,jǐn liàng,as much as possible
5,谨慎,jǐn shèn,cautious
5,进步,jìn bù,progress
5,进口,jìn kǒu,to import
5,近代,jìn dài,modern times
5,尽力,jìn lì,to strive one's hardest
5,精力,jīng lì,energy
5,经典,jīng diǎn,the classics
5,经营,jīng yíng,to engage in (business etc)
5,景色,jǐng sè,scenery
5,敬爱,jìng ài,respect and love
5,酒吧,jiǔ bā,bar
5,救,jiù,to save
5,救护车,jiù hù chē,ambulance
5,舅舅,jiù jiu,mother's brother
5,居然,jū rán,unexpectedly
5,桔子,jú zi,tangerine
5,举,jǔ,to lift
5,具备,jù bèi,to possess
5,具体,jù tǐ,concrete
5,巨大,jù dà,huge
5,聚会,jù huì,party
5,俱乐部,jù lè bù,club (i.e. a group or organization) (loanword)
5,据说,jù shuō,it is said that
5,捐,juān,to contribute
5,卷,juǎn,to roll (up)
5,决赛,jué sài,finals (of a competition)
5,决心,jué xīn,determination
5,绝对,jué duì,absolute
5,角色,jué sè,role
5,军事,jūn shì,military affairs
5,均匀,jūn yún,even
5,卡车,kǎ chē,truck
5,开发,kāi fā,to exploit (a resource)
5,开放,kāi fàng,to bloom
5,开幕式,kāi mù shì,opening ceremony
5,开心,kāi xīn,to feel happy
5,砍,kǎn,to chop
5,看不起,kàn bu qǐ,to look down upon
5,看来,kàn lai,apparently
5,抗议,kàng yì,to protest
5,烤鸭,kǎo yā,roast duck
5,颗,kē,classifier for small spheres
5,可见,kě jiàn,it can clearly be seen (that this is the case)
5,可靠,kě kào,reliable
5,可怕,kě pà,awful
5,刻苦,kè kǔ,hardworking
5,课程,kè chéng,course
5,克,kè,variant of 克[kè]
5,克服,kè fú,(try to) overcome (hardships etc)
5,客观,kè guān,objective
5,客厅,kè tīng,drawing room (room for arriving guests)
5,空间,kōng jiān,space
5,恐怖,kǒng bù,terrible
5,空闲,kòng xián,idle
5,控制,kòng zhì,control
5,口味,kǒu wèi,a person's preferences
5,夸,kuā,to boast
5,会计,kuài jì,accountant
5,矿泉水,kuàng quán shuǐ,mineral spring water
5,辣椒,là jiāo,hot pepper
